Postgres (Npgsql);5000;12234.2336;5895.4615;14159.9926;18794.7905
ClickHouse (ClickHouse.Ado);1000;12140.2087;8268.9306;14289.9663;20745.4516
ClickHouse (ClickHouse.Ado);1000;11844.8813;8080.9779;12279.8165;21138.7317
ClickHouse (ClickHouse.Ado);1000;11838.0264;7293.2724;11901.3255;12263.8298
ClickHouse (ClickHouse.Ado);1000;11807.1558;9867.9089;20394.0246;15945.6695
ClickHouse (ClickHouse.Ado);1000;11757.8311;7482.0328;16870.6139;20828.7961
ClickHouse (ClickHouse.Ado);1000;11753.217;10570.844;21964.6795;15740.0585
Postgres (Npgsql);5000;11708.9588;5538.8124;11353.2837;13294.6457
ClickHouse (ClickHouse.Ado);1000;11667.161;7256.9861;25073.661;30779.8927
ClickHouse (ClickHouse.Ado);1000;11657.322;9903.584;10253.4647;11575.4976
Postgres (Npgsql);5000;11611.9543;5915.0702;14021.6527;17846.93
ClickHouse (ClickHouse.Ado);1000;11573.1633;8900.9571;12586.6824;19890.6456
Postgres (Npgsql);5000;11537.2873;5525.3977;11242.1487;17799.044
Postgres (Npgsql);5000;11519.9701;6344.924;11655.9209;17633.9282
ClickHouse (ClickHouse.Ado);1000;11483.931;11013.6343;13734.892;14929.3604
ClickHouse (ClickHouse.Ado);1000;11349.8549;8558.4792;11425.4199;17794.4175
ClickHouse (ClickHouse.Ado);1000;11331.1037;7900.5259;15195.7781;15019.9741
ClickHouse (ClickHouse.Ado);1000;11291.9105;9757.8925;14107.7309;18307.3159
ClickHouse (ClickHouse.Ado);1000;11201.2542;8390.2871;12459.3365;18146.4062
ClickHouse (ClickHouse.Ado);1000;11151.009;7640.1652;13153.0391;14526.9789
ClickHouse (ClickHouse.Ado);1000;11069.2892;6981.998;13173.8518;19423.0416
ClickHouse (ClickHouse.Ado);1000;11029.2589;8306.788;11072.2808;13462.4083
Postgres (Npgsql);5000;10951.0797;5545.9342;12392.9707;18500.0202
ClickHouse (ClickHouse.Ado);1000;10945.2894;7098.2252;13990.6264;13427.1204
ClickHouse (ClickHouse.Ado);1000;10938.3868;9256.1484;12649.6881;13396.3314
ClickHouse (ClickHouse.Ado);1000;10809.217;7376.1184;15477.5643;16606.9274
ClickHouse (ClickHouse.Ado);1000;10570.4205;7038.4884;14129.2987;18648.9637
ClickHouse (ClickHouse.Ado);1000;10547.193;9534.0334;15333.6787;14302.5725
ClickHouse (ClickHouse.Ado);1000;10482.532;6860.6087;13891.7909;12364.9601
ClickHouse (ClickHouse.Ado);1000;10370.2244;8276.1775;12934.9414;17677.1793
ClickHouse (ClickHouse.Ado);1000;10337.4385;7685.1195;17613.4467;19127.808
ClickHouse (ClickHouse.Ado);1000;10222.3792;7748.3178;18129.1308;17663.4174
ClickHouse (ClickHouse.Ado);1000;9500.1741;8331.8302;13902.2644;14511.7409
ClickHouse (ClickHouse.Ado);1000;9415.5073;9754.3318;13230.7822;13172.468
Postgres (Npgsql);1000;9330.6912;1111.2187;2693.6551;2668.6437
Postgres (dotConnect.Express.for.PostgreSQL);1000;9244.1785;2405.2935;3965.4067;4105.1381
Postgres (dotConnect.Express.for.PostgreSQL);1000;9234.1897;2392.7195;4004.8084;3959.8451
ClickHouse (ClickHouse.Ado);1000;9133.567;7464.1454;15725.8202;14704.342
ClickHouse (Octonica.ClickHouseClient);1000;8439.7981;10305.1919;28465.8646;17419.6697
ClickHouse (Octonica.ClickHouseClient);1000;8334.1957;8748.8257;22938.0217;30813.4354
Postgres (dotConnect.Express.for.PostgreSQL);1000;8092.3611;2480.2512;4139.1207;4190.8255
Postgres (Npgsql);1000;7790.2914;1158.7107;2701.4109;2723.3205
Postgres (dotConnect.Express.for.PostgreSQL);1000;6600.8958;2488.5476;4177.6293;4178.6694
Postgres (dotConnect.Express.for.PostgreSQL);1000;6535.1384;2112.3021;3799.8343;3699.6506
Postgres (dotConnect.Express.for.PostgreSQL);1000;6531.1182;2126.7767;3977.8335;3769.5017
Postgres (Npgsql);1000;6519.5385;1196.4514;2879.9699;2831.318
Postgres (dotConnect.Express.for.PostgreSQL);100;6226.5301;228.9149;1085.5458;404.016
ClickHouse (Octonica.ClickHouseClient);1000;5536.069;5786.958;15466.5942;24267.6548
Postgres (dotConnect.Express.for.PostgreSQL);1000;5321.7487;2512.4963;6350.2365;4182.9153
Postgres (dotConnect.Express.for.PostgreSQL);1000;5200.8326;3646.0864;6781.772;4950.5676
ClickHouse (Octonica.ClickHouseClient);100;5063.9337;608.0356;2737.2177;1749.3979
Postgres (dotConnect.Express.for.PostgreSQL);1000;5018.4448;2329.0685;3959.1394;3892.3361
Postgres (Npgsql);1000;4907.4924;2060.3534;4488.771;8232.7044
Postgres (dotConnect.Express.for.PostgreSQL);1000;4841.3521;3048.5997;4883.3401;4848.3505
ClickHouse (Octonica.ClickHouseClient);1000;4759.4882;4983.3429;11094.7161;11373.9555
ClickHouse (Octonica.ClickHouseClient);1000;4733.7931;4954.8942;11155.9932;11550.7454
Postgres (Npgsql);1000;4702.2445;1184.2077;2823.0973;2906.6304
Postgres (dotConnect.Express.for.PostgreSQL);100;4562.2192;253.604;944.1582;1723.5405
ClickHouse (Octonica.ClickHouseClient);1000;4492.5794;5670.1746;8766.4256;15607.2016
ClickHouse (Octonica.ClickHouseClient);1000;4413.7724;4724.8257;10061.3058;16375.806
Postgres (dotConnect.Express.for.PostgreSQL);100;4387.7997;258.3309;1366.1437;1073.4748
ClickHouse (Octonica.ClickHouseClient);1000;4337.8772;4634.7086;11486.5821;12561.4223
ClickHouse (Octonica.ClickHouseClient);1000;4271.6982;5160.2752;15560.2162;10206.0161
Postgres (dotConnect.Express.for.PostgreSQL);1000;4267.4675;2572.8179;3868.163;3755.3475
Postgres (dotConnect.Express.for.PostgreSQL);1000;4236.5426;2531.2098;4247.3964;4341.84
Postgres (dotConnect.Express.for.PostgreSQL);1000;4234.7902;2151.6107;3851.8482;3750.7159
ClickHouse (Octonica.ClickHouseClient);1000;4225.6082;5372.7243;8610.8978;9329.1372
ClickHouse (Octonica.ClickHouseClient);1000;4222.6146;4887.4159;9702.0586;8989.2655
Postgres (dotConnect.Express.for.PostgreSQL);1000;4210.8827;2746.6471;4960.4989;5256.2948
ClickHouse (Octonica.ClickHouseClient);1000;4201.5154;4682.1265;9656.3608;17070.095
Postgres (dotConnect.Express.for.PostgreSQL);1000;4198.8055;2404.4742;4416.1203;4544.4104
Postgres (dotConnect.Express.for.PostgreSQL);1000;4195.5389;2618.7932;3957.4084;4287.7177
Postgres (dotConnect.Express.for.PostgreSQL);1000;4186.9794;2535.6551;4246.7465;3615.7838
Postgres (dotConnect.Express.for.PostgreSQL);1000;4182.7617;2561.0108;4414.1213;4298.1555
Postgres (dotConnect.Express.for.PostgreSQL);1000;4113.9276;2415.3789;4361.0324;3934.7344
Postgres (dotConnect.Express.for.PostgreSQL);1000;4065.6717;2392.5991;3736.1148;3752.3598
Postgres (dotConnect.Express.for.PostgreSQL);100;4031.5465;551.227;665.8553;840.1622
Postgres (dotConnect.Express.for.PostgreSQL);1000;3950.5233;2267.8705;3947.7491;3548.1467
Postgres (dotConnect.Express.for.PostgreSQL);1000;3948.5466;2262.6453;4072.3966;3814.866
Postgres (dotConnect.Express.for.PostgreSQL);1000;3931.2093;2310.5729;3626.6344;3389.5417
Postgres (dotConnect.Express.for.PostgreSQL);1000;3907.4251;2275.066;3858.8681;3433.9837
Postgres (dotConnect.Express.for.PostgreSQL);1000;3896.5019;2271.5108;3921.0808;4038.7507
Postgres (dotConnect.Express.for.PostgreSQL);1000;3886.655;2272.2359;3928.8203;3428.3527
Postgres (dotConnect.Express.for.PostgreSQL);1000;3844.0989;2272.1451;6055.9265;6759.9253
Postgres (dotConnect.Express.for.PostgreSQL);1000;3835.4056;2285.9787;9595.7499;3905.0384
Postgres (dotConnect.Express.for.PostgreSQL);1000;3813.1876;2260.6718;7461.6198;5022.5759
Postgres (dotConnect.Express.for.PostgreSQL);1000;3805.9338;2274.6082;4093.1381;3867.2755
Postgres (dotConnect.Express.for.PostgreSQL);1000;3801.5981;2125.4682;3804.021;3721.409
Postgres (dotConnect.Express.for.PostgreSQL);1000;3772.7617;2200.2857;3906.4864;3804.5212
Postgres (dotConnect.Express.for.PostgreSQL);1000;3759.3392;2510.0583;3832.2384;3753.404
Postgres (Npgsql);1000;3750.8859;1892.1289;3574.7424;3707.4395
Postgres (dotConnect.Express.for.PostgreSQL);1000;3745.0962;2132.8157;3788.5144;7933.0962
Postgres (dotConnect.Express.for.PostgreSQL);1000;3726.68;2124.1005;3800.2408;3769.3667
Postgres (dotConnect.Express.for.PostgreSQL);1000;3720.6767;2580.1153;3631.3079;3669.0023
Postgres (dotConnect.Express.for.PostgreSQL);1000;3712.1312;2701.9277;3969.951;4513.9156
Postgres (dotConnect.Express.for.PostgreSQL);1000;3710.604;2126.3422;3850.1961;3533.5686
Postgres (dotConnect.Express.for.PostgreSQL);1000;3701.032;2502.2966;3864.8904;4795.67
Postgres (dotConnect.Express.for.PostgreSQL);1000;3696.2404;2131.0494;3486.4849;3282.0114
Postgres (dotConnect.Express.for.PostgreSQL);1000;3691.181;2133.529;3249.0616;3260.3877
Postgres (dotConnect.Express.for.PostgreSQL);1000;3687.5283;2544.2988;3716.7382;3677.7361
Postgres (dotConnect.Express.for.PostgreSQL);1000;3672.3165;2120.1993;4287.8894;3782.2966
Postgres (dotConnect.Express.for.PostgreSQL);1000;3609.49;2385.3088;3653.3873;9218.8785
Postgres (dotConnect.Express.for.PostgreSQL);1000;3594.6069;2421.7459;3632.1051;3629.4787
Postgres (dotConnect.Express.for.PostgreSQL);1000;3583.5427;2475.6217;3614.2601;3757.1659
Postgres (dotConnect.Express.for.PostgreSQL);1000;3577.2564;2454.5259;3770.2667;3652.9893
Postgres (dotConnect.Express.for.PostgreSQL);1000;3567.1914;2120.385;3223.2803;3210.6566
Postgres (dotConnect.Express.for.PostgreSQL);100;3541.0675;263.9112;392.5302;389.1389
Postgres (dotConnect.Express.for.PostgreSQL);100;3500.6396;395.2993;450.0348;442.767
Postgres (dotConnect.Express.for.PostgreSQL);1000;3480.2391;2296.8461;3452.4338;3469.8009
Postgres (dotConnect.Express.for.PostgreSQL);1000;3467.3287;2475.6986;3554.3624;3870.754
Postgres (dotConnect.Express.for.PostgreSQL);1000;3453.0283;2449.533;3619.4971;4121.5394
Postgres (Npgsql);1000;3435.7076;1287.2104;2455.2491;2446.0259
